PERIODO,PROVEEDOR,DIRECCION,RANGO_PESO_ENVIO,AMBITO,TIPO_ENVIO,TIPO_SERVICIO,INGRESOS,NUMERO_TOTAL_ENVIOS
2021-01-01T00:00:00.000,SERVICIOS POSTALES NACIONALES S.A.,Entrada,Hasta 200g,Internacional,Envíos Individuales,Correo,"$ 934,469,741","179,851"
2021-01-01T00:00:00.000,SERVICIOS POSTALES NACIONALES S.A.,Entrada,Hasta 200g,Internacional,Envíos Individuales,Correo certificado,"$ 156,387,000","42,303"
2021-01-01T00:00:00.000,SERVICIOS POSTALES NACIONALES S.A.,Entrada,Mayor a 1Kg y hasta 2Kg,Internacional,Envíos Individuales,Correo,"$ 135,668,455","14,315"
2021-01-01T00:00:00.000,SERVICIOS POSTALES NACIONALES S.A.,Entrada,Mayor a 200g y hasta 1Kg,Internacional,Envíos Individuales,Correo,"$ 424,991,012","57,784"
2021-01-01T00:00:00.000,SERVICIOS POSTALES NACIONALES S.A.,Entrada,Mayor a 4Kg y hasta 5Kg,Internacional,Envíos Individuales,Correo,"$ 6,200",1
2021-01-01T00:00:00.000,COLOMBIANA DE ENCOMIENDAS S.A. -ENCOEXPRES S.A.-,Local,Hasta 200g,Local,Envíos Individuales,Correo,$ 2,2
2021-01-01T00:00:00.000,SERVICIOS POSTALES NACIONALES S.A.,Local,Hasta 200g,Local,Envíos Individuales,Correo,"$ 9,741,200","93,652"
2021-01-01T00:00:00.000,SERVICIOS POSTALES NACIONALES S.A.,Local,Hasta 200g,Local,Envíos Individuales,Correo certificado,"$ 96,727,996","29,145"
2021-01-01T00:00:00.000,COLOMBIANA DE ENCOMIENDAS S.A. -ENCOEXPRES S.A.-,Local,Mayor a 1Kg y hasta 2Kg,Local,Envíos Individuales,Correo,"$ 159,000",17
2021-01-01T00:00:00.000,SERVICIOS POSTALES NACIONALES S.A.,Local,Mayor a 1Kg y hasta 2Kg,Local,Envíos Individuales,Correo,"$ 2,894,200",245
2021-01-01T00:00:00.000,SERVICIOS POSTALES NACIONALES S.A.,Local,Mayor a 1Kg y hasta 2Kg,Local,Envíos Individuales,Correo certificado,"$ 138,922",27
2021-01-01T00:00:00.000,COLOMBIANA DE ENCOMIENDAS S.A. -ENCOEXPRES S.A.-,Local,Mayor a 200g y hasta 1Kg,Local,Envíos Individuales,Correo,"$ 46,800",7
2021-01-01T00:00:00.000,SERVICIOS POSTALES NACIONALES S.A.,Local,Mayor a 200g y hasta 1Kg,Local,Envíos Individuales,Correo,"$ 2,830,350",261
2021-01-01T00:00:00.000,SERVICIOS POSTALES NACIONALES S.A.,Local,Mayor a 200g y hasta 1Kg,Local,Envíos Individuales,Correo certificado,"$ 1,160,400",192
2021-01-01T00:00:00.000,COLOMBIANA DE ENCOMIENDAS S.A. -ENCOEXPRES S.A.-,Local,Mayor a 2Kg y hasta 3Kg,Local,Envíos Individuales,Correo,"$ 369,800",36
2021-01-01T00:00:00.000,SERVICIOS POSTALES NACIONALES S.A.,Local,Mayor a 2Kg y hasta 3Kg,Local,Envíos Individuales,Correo,"$ 308,100",26
2021-01-01T00:00:00.000,SERVICIOS POSTALES NACIONALES S.A.,Local,Mayor a 2Kg y hasta 3Kg,Local,Envíos Individuales,Correo certificado,"$ 455,000",91
2021-01-01T00:00:00.000,COLOMBIANA DE ENCOMIENDAS S.A. -ENCOEXPRES S.A.-,Local,Mayor a 3Kg y hasta 4Kg,Local,Envíos Individuales,Correo,"$ 98,500",8
2021-01-01T00:00:00.000,SERVICIOS POSTALES NACIONALES S.A.,Local,Mayor a 3Kg y hasta 4Kg,Local,Envíos Individuales,Correo,"$ 118,500",10
2021-01-01T00:00:00.000,COLOMBIANA DE ENCOMIENDAS S.A. -ENCOEXPRES S.A.-,Local,Mayor a 4Kg y hasta 5Kg,Local,Envíos Individuales,Correo,"$ 102,648",6
2021-01-01T00:00:00.000,SERVICIOS POSTALES NACIONALES S.A.,Local,Mayor a 4Kg y hasta 5Kg,Local,Envíos Individuales,Correo,"$ 237,000",20
2021-01-01T00:00:00.000,SERVICIOS POSTALES NACIONALES S.A.,Local,Mayor a 4Kg y hasta 5Kg,Local,Envíos Individuales,Correo certificado,"$ 5,500",1
2021-01-01T00:00:00.000,SERVICIOS POSTALES NACIONALES S.A.,Local,Mayor a 5Kg y hasta 30Kg,Local,Envíos Individuales,Correo,"$ 165,900",14
2021-01-01T00:00:00.000,SERVICIOS POSTALES NACIONALES S.A.,Local,Mayor a 5Kg y hasta 30Kg,Local,Envíos Individuales,Correo certificado,"$ 183,997",16
2021-01-01T00:00:00.000,COLOMBIANA DE ENCOMIENDAS S.A. -ENCOEXPRES S.A.-,Nacional,Hasta 200g,Nacional,Envíos Individuales,Correo,$ 2,2
2021-01-01T00:00:00.000,SERVICIOS POSTALES NACIONALES S.A.,Nacional,Hasta 200g,Nacional,Envíos Individuales,Correo,"$ 18,916,690","81,549"
2021-01-01T00:00:00.000,SERVICIOS POSTALES NACIONALES S.A.,Nacional,Hasta 200g,Nacional,Envíos Individuales,Correo certificado,"$ 98,222,445","22,778"
2021-01-01T00:00:00.000,COLOMBIANA DE ENCOMIENDAS S.A. -ENCOEXPRES S.A.-,Nacional,Mayor a 1Kg y hasta 2Kg,Nacional,Envíos Individuales,Correo,"$ 2,089,160",221
2021-01-01T00:00:00.000,SERVICIOS POSTALES NACIONALES S.A.,Nacional,Mayor a 1Kg y hasta 2Kg,Nacional,Envíos Individuales,Correo,"$ 4,354,400",180
2021-01-01T00:00:00.000,SERVICIOS POSTALES NACIONALES S.A.,Nacional,Mayor a 1Kg y hasta 2Kg,Nacional,Envíos Individuales,Correo certificado,"$ 6,786,825",438
2021-01-01T00:00:00.000,COLOMBIANA DE ENCOMIENDAS S.A. -ENCOEXPRES S.A.-,Nacional,Mayor a 200g y hasta 1Kg,Nacional,Envíos Individuales,Correo,"$ 173,001",26
2021-01-01T00:00:00.000,SERVICIOS POSTALES NACIONALES S.A.,Nacional,Mayor a 200g y hasta 1Kg,Nacional,Envíos Individuales,Correo,"$ 10,722,640",521
2021-01-01T00:00:00.000,SERVICIOS POSTALES NACIONALES S.A.,Nacional,Mayor a 200g y hasta 1Kg,Nacional,Envíos Individuales,Correo certificado,"$ 8,063,808",940
2021-01-01T00:00:00.000,COLOMBIANA DE ENCOMIENDAS S.A. -ENCOEXPRES S.A.-,Nacional,Mayor a 2Kg y hasta 3Kg,Nacional,Envíos Individuales,Correo,"$ 3,445,630",348
2021-01-01T00:00:00.000,SERVICIOS POSTALES NACIONALES S.A.,Nacional,Mayor a 2Kg y hasta 3Kg,Nacional,Envíos Individuales,Correo,"$ 2,983,200",122
2021-01-01T00:00:00.000,SERVICIOS POSTALES NACIONALES S.A.,Nacional,Mayor a 2Kg y hasta 3Kg,Nacional,Envíos Individuales,Correo certificado,"$ 1,409,000",98
2021-01-01T00:00:00.000,COLOMBIANA DE ENCOMIENDAS S.A. -ENCOEXPRES S.A.-,Nacional,Mayor a 3Kg y hasta 4Kg,Nacional,Envíos Individuales,Correo,"$ 1,487,926",133
2021-01-01T00:00:00.000,SERVICIOS POSTALES NACIONALES S.A.,Nacional,Mayor a 3Kg y hasta 4Kg,Nacional,Envíos Individuales,Correo,"$ 1,302,000",53
2021-01-01T00:00:00.000,SERVICIOS POSTALES NACIONALES S.A.,Nacional,Mayor a 3Kg y hasta 4Kg,Nacional,Envíos Individuales,Correo certificado,"$ 819,200",47
